sep=;,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,police,unsafe location mode,unsafe location time of day,unsafe location cause,safe location mode,safe location cause,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
54,unsafe,,,,,,,,,,,"bike, ride",day,"poor-lighting, poor-sign, no-yield, driving-speed, other",,,,,,,,"I-580 W, Berkeley, CA, 94710, USA",2019/02/19,37.87815292,-122.3071511,polyline,"[[-122.30778700007,37.8784480000511],[-122.307658000199,37.878041999682],[-122.306080999633,37.8784059999455]]"
61,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,"2703 Mathews St, Berkeley, CA, 94702, USA",2019/03/11,37.85766765,-122.2865,polyline,"[[-122.287337999776,37.8613869996939],[-122.285449999764,37.8539369999749]]"
63,unsafe,,,,,,,,,,,bike,"day, night","no-yield, driving-speed",,,,,,,,"3001-3099 Hillegass Ave, Berkeley, CA, 94705, USA",2019/03/13,37.85522156,-122.2548587,polyline,"[[-122.255502999681,37.8567239997495],[-122.254972999951,37.8557539997686],[-122.254769999562,37.8536220001987]]"
64,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,"2330-2398 Ellsworth St, Berkeley, CA, 94704, USA",2019/03/13,37.86634032,-122.2634124,polyline,"[[-122.26297199989,37.8645399999563],[-122.263766000108,37.8681670000087]]"
65,unsafe,,,,,,,,,,,bike,"day, night",no-yield,,,,,,,,"2301-2329 Ellsworth St, Berkeley, CA, 94704, USA",2019/03/13,37.86770748,-122.2635782,polyline,"[[-122.263511999665,37.8672099999297],[-122.263742999644,37.8681810001014]]"
66,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,"2600-2614 Parker St, Berkeley, CA, 94704, USA",2019/03/13,37.86338397,-122.2561772,polyline,"[[-122.253842000347,37.8635890000942],[-122.258519999647,37.8632840001473]]"
67,unsafe,,,,,,,,,,,bike,"day, night",poor-bikelane,,,,,,,,"Berkeley Typewriter, 1823 University Ave, Berkeley, CA, 94703, USA",2019/03/13,37.87149003,-122.2742,polyline,"[[-122.268337000176,37.872301000033],[-122.2799070001,37.8707400003224]]"
73,unsafe,,,,,,,,,,,bike,,,,,,,,,,"2527-2579 Bancroft Way, Berkeley, CA, 94704, USA",2019/04/04,37.86894501,-122.2578242,polyline,"[[-122.252704999997,37.8696529997646],[-122.262940000103,37.8682139998028]]"
74,positive,,,,,,,,,,,,,,walk,,,,,,,"3014 Hillegass Ave, Berkeley, CA, 94705, USA",2019/04/04,37.85522463,-122.2549686,polyline,"[[-122.255547999887,37.8567619999174],[-122.255054999967,37.8558889996824],[-122.254850999753,37.853584999934]]"
123,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,"1601-1617 Milvia St, Berkeley, CA, 94709, USA",2019/05/10,37.87766026,-122.2713065,polyline,"[[-122.271831999994,37.8817120002327],[-122.270906000429,37.8735959998545]]"
124,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,"2626-2698 Milvia St, Berkeley, CA, 94704, USA",2019/05/10,37.8600246,-122.2694978,polyline,"[[-122.26903400031,37.8564629997653],[-122.269861999966,37.8636090001513]]"
125,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,"2000-2098 Derby St, Berkeley, CA, 94704, USA",2019/05/10,37.8601112,-122.2682757,polyline,"[[-122.267156000344,37.8603419999604],[-122.269420999925,37.8599769997927]]"
126,unsafe,,,,,,,,,,,"walk, bike","day, night","poor-sign, other",,,,,,,,"Hillegass Ave & Ashby Ave, Berkeley, CA, 94705, USA",2019/05/10,37.856727,-122.255505,polyline,"[[-122.267156000344,37.8603419999604],[-122.269420999925,37.8599769997927]]"
129,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,"1801-1805 Channing Way, Berkeley, CA, 94703, USA",2019/05/10,37.86494336,-122.2744843,polyline,"[[-122.267712000012,37.8657630002683],[-122.281241999919,37.8640189997703]]"
168,positive,,,,,,,,,,,,,,"walk, bike","safe-speed, good-bikelane, other",,,,,,"1851-1899 West St, Berkeley, CA, 94702, USA",2019/06/03,37.87209511,-122.2867196,polyline,"[[-122.287049999896,37.8742480000048],[-122.286684000198,37.8712719997065],[-122.286730000229,37.8710389999945],[-122.286578999718,37.8705750002329],[-122.286551000129,37.8699340003113]]"
169,unsafe,,,,,,,,,,,bike,"day, night",poor-bikelane,,,,,,,,"San Pablo Ave, Berkeley, CA, 94710, USA",2019/06/03,37.8605532,-122.289472,polyline,"[[-122.292188000402,37.8690410000865],[-122.286705999939,37.8520829997742]]"
170,incident,05/2019,bike,day,driver,,sev,poor-sign,A cyclist was struck at this intersection last week. There are no stops or signals on Cedar St b/w San Pablo and 6th St. Dwight has midway stop at 9th. So should Cedar to prevent crashes and speeding.,,yes,,,,,,,,,,,"Cedar St & 9th St, Berkeley, CA, 94710, USA",2019/06/03,37.874745,-122.296374,polyline,"[[-122.292188000402,37.8690410000865],[-122.286705999939,37.8520829997742]]"
171,unsafe,,,,,,,,,,,"bike, ride",,poor-street,,,,,,,,"Telegraph Ave & 51st St, Oakland, CA, 94609, USA",2019/06/03,37.837314,-122.2623315,polyline,"[[-122.292188000402,37.8690410000865],[-122.286705999939,37.8520829997742]]"
174,unsafe,,,,,,,,,,,ride,night,poor-lighting,,,,,,,,"University Ave, Berkeley, CA, 94702, USA",2019/06/03,37.86970241,-122.2869901,polyline,"[[-122.292032999693,37.8690680000439],[-122.281956999596,37.8704240001494]]"
175,positive,,,,,,,,,,,,,,"walk, bike",car-traffic,,,,,,"2501-2519 Grant St, Berkeley, CA, 94703, USA",2019/06/05,37.86224079,-122.2740124,polyline,"[[-122.272789000419,37.8559650001502],[-122.27371199961,37.8603869997588],[-122.274645999571,37.8653509998272],[-122.274966999961,37.8685180000102]]"
319,unsafe,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane",,,,,,,,"Bay St, Berkeley, CA, 94710, USA",2019/10/09,37.84928702,-122.2954505,polyline,"[[-122.295807000068,37.8499929997419],[-122.295169000383,37.8485520000242]]"
340,unsafe,,,,,,,,,,,bike,"day, night","no-yield, driving-speed",,,,,,,,"2511 Ashby Ave, Berkeley, CA, 94705, USA",2019/11/09,37.8566605,-122.2562584,polyline,"[[-122.254163999664,37.856897000113],[-122.258434000332,37.8564230000231]]"
342,unsafe,,,,,,,,,,,bike,"day, night","poor-bikelane, no-yield, driving-speed",,,,,,,,"2701-2735 Durant Ave, Berkeley, CA, 94704, USA",2019/11/10,37.8684213,-122.2544217,polyline,"[[-122.25459300001,37.8693480000958],[-122.254249999878,37.8674169997664]]"
378,unsafe,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, driving-speed",,,,,,,,"Center St, Berkeley, CA, 94704, USA",2019/11/26,37.87034203,-122.2678383,polyline,"[[-122.270138999975,37.870001000137],[-122.267209999872,37.8704410001461],[-122.265526000074,37.8706360002445]]"
380,unsafe,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, no-yield, driving-speed",,,,,,,,"1031-1099 Heinz Ave, Berkeley, CA, 94710, USA",2019/11/26,37.85435067,-122.287924,polyline,"[[-122.286233000111,37.8537540001674],[-122.287059000117,37.8536020002688],[-122.287316000035,37.8544240002225],[-122.288281999782,37.8542369998277],[-122.290374000009,37.8538139998171]]"
381,unsafe,,,,,,,,,,,bike,"day, night","poor-bikelane, no-yield, driving-speed",,,,,,,,"Russell St, Berkeley, CA, 94702, USA",2019/11/26,37.85487815,-122.2794057,polyline,"[[-122.279983000268,37.8547919997772],[-122.278830000025,37.8549739997608]]"
382,unsafe,,,,,,,,,,,bike,"day, night",poor-bikelane,,,,,,,,"1827-1899 Channing Way, Berkeley, CA, 94703, USA",2019/11/26,37.86508369,-122.273387,polyline,"[[-122.267703999616,37.8657569999307],[-122.272252999943,37.8651640002045],[-122.275793999791,37.8647409997812],[-122.279055000155,37.8642999998177]]"
383,nearMiss,09/2019,bike,day,driver,,none,,,"no-yield, unsafe-speed, car-door",,,,,,,,,,,,"1920-1936 Allston Way, Berkeley, CA, 94704, USA",2019/11/26,37.86881538,-122.2718517,polyline,"[[-122.273256000399,37.8687010000388],[-122.27046100019,37.8690439997671]]"
384,unsafe,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street",,,,,,,,"2627-2699 Milvia St, Berkeley, CA, 94704, USA",2019/11/26,37.86049671,-122.2694039,polyline,"[[-122.269013000394,37.8564230000231],[-122.269924999715,37.8645549999833]]"
549,unsafe,,,,,,,,,,,bike,night,poor-street,,,,,,,,"1002-1024 Virginia St, Berkeley, CA, 94710, USA",2019/12/17,37.87316756,-122.2946605,polyline,"[[-122.295803,37.87299],[-122.293539,37.873456]]"
550,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,"921-999 Camelia St, Berkeley, CA, 94710, USA",2019/12/17,37.87820908,-122.2980906,polyline,"[[-122.297519,37.878275],[-122.298646,37.878063]]"
551,unsafe,,,,,,,,,,,"walk, bike, ride","day, night","poor-bikelane, no-yield, driving-speed",,,,,,,,"Gilman St, Berkeley, CA, 94710, USA",2019/12/17,37.87817106,-122.307253,polyline,"[[-122.30768,37.878093],[-122.306832,37.878275]]"
552,unsafe,,,,,,,,,,,ride,"day, night",no-yield,,,,,,,,"Gilman St, Berkeley, CA, 94710, USA",2019/12/17,37.87833422,-122.3064881,polyline,"[[-122.306564,37.8778],[-122.306564,37.877936],[-122.30651,37.878055],[-122.306467,37.878215],[-122.306478,37.878321],[-122.306553,37.87841],[-122.306634,37.878525],[-122.306757,37.878664],[-122.306854,37.878796]]"
553,unsafe,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-sign",,,,,,,,"1407-1499 Peralta Ave, Berkeley, CA, 94702, USA",2019/12/17,37.8780168,-122.2887904,polyline,"[[-122.288271,37.877623],[-122.288513,37.878182],[-122.288861,37.877995],[-122.288684,37.878499],[-122.288893,37.878961]]"
608,positive,,,,,,,,,,,,,,"transit, ride",,,,,,,"2451-2499 Bowditch St, Berkeley, CA, 94704, USA",2020/02/26,37.86586683,-122.2561858,polyline,"[[-122.257923,37.866146],[-122.256348,37.86634],[-122.256152,37.865435],[-122.2578,37.865222]]"
609,unsafe,,,,,,,,,,,walk,night,poor-lighting,,,,,,,,"1901-1961 Channing Way, Berkeley, CA, 94704, USA",2020/02/26,37.86536693,-122.2711433,polyline,"[[-122.272194,37.865177],[-122.270057,37.865478]]"
632,incident,02/2020,walk,day,,,,,,,,,,,,,,,,,,"2300-2398 Martin Luther King Jr Way, Berkeley, CA, 94704, USA",2020/03/30,37.86626566,-122.272509,polyline,"[[-122.272616,37.868907],[-122.272419,37.86364]]"
633,incident,,walk,,,,,,,,,,,,,,,,,,,"2334 Bancroft Way, Berkeley, CA, 94704, USA",2020/04/03,37.86824457,-122.2628004,polyline,"[[-122.262903,37.867913],[-122.262847,37.867737]]"
634,incident,,walk,,,,,,,,,,,,,,,,,,,"East Bay School for Boys, 2340 Durant Ave, Berkeley, CA, 94704, USA",2020/04/03,37.86749,-122.26144,polyline,"[[-122.262935,37.867905],[-122.261444,37.867717],[-122.261845,37.866356]]"
1213,unsafe,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-street, poor-lighting",,,,,,"sidewalk, pavement","Street scape needs a redo... either shave sidewalks or replace, improve street drainage as drainage does not happen and big puddles form from rains, resurface street (previous trenching in street is subsiding) as cracks are terrible for trying to ride a bicycle.","664 Vincente Ave, Berkeley, CA, 94707, USA",2020/12/22,37.89538699,-122.282784,polyline,"[[-122.285957,37.898911],[-122.279949,37.891596]]"
1753,unsafe,,,,,,,,,,,walk,"day, night",no-yield,,,,,,sidewalk,"A bulb out"" extension of the sideway would be useful to make pedestrians more visible and to impede the right turn so drivers are slower""","1293-1299 Hopkins St, Albany, CA, 94706, USA",2022/12/08,37.87802747,-122.2889183,polyline,"[[-122.288829,37.878144],[-122.288904,37.87795],[-122.289065,37.877882]]"
1810,unsafe,,,,,,,,,,,walk,"day, night","poor-sign, no-yield, driving-speed, other",,,,,,"signs, benches",,"2727 Milvia St, Berkeley, CA, 94703, USA",2023/02/26,37.85967501,-122.268735,polyline,"[[-122.240067,37.805444],[-122.232857,37.784554],[-122.220154,37.80246],[-122.238693,37.824701],[-122.272339,37.864284],[-122.272339,37.878105],[-122.281952,37.874582],[-122.279892,37.859134],[-122.252769,37.872143],[-122.232513,37.856965],[-122.253456,37.870246]]"
1816,nearMiss,03/2023,bike,day,driver,,none,,,"no-yield, unsafe-speed",,,,,,,,eBike,,enforcement,,"2000-2046 Channing Way, Berkeley, CA, 94704, USA",2023/04/03,37.86553911,-122.2689871,polyline,"[[-122.254658,37.8674],[-122.283325,37.863741]]"
1817,unsafe,,,,,,,,,,,bike,"day, night","poor-street, poor-lighting",,,,,,"pavement, lighting","A lot of Berkeley has bad pavement, but these two blocks are some of the worst and because it is a designated route, some of the most highly used.","1701-1725 Channing Way, Berkeley, CA, 94703, USA",2023/04/03,37.86477258,-122.2757338,polyline,"[[-122.27685,37.864586],[-122.274608,37.864883]]"
1894,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,pavement,A complete repaving job is necessary. ,"1513-1523 McGee Ave, Berkeley, CA, 94703, USA",2023/07/17,37.87866561,-122.2790409,polyline,"[[-122.278304,37.877292],[-122.279871,37.879985]]"
4314,positive,,,,,,,,,,,,,,"walk, bike, ride","safe-speed, car-traffic, good-bikelane",,,,,,"1519 Milvia St, Berkeley, CA, 94709, USA",2024/08/19,37.87922501,-122.271297,polyline,"[[-122.270794,37.873574],[-122.272167,37.884881]]"
4526,nearMiss,09/04/2025,walk,day,"driver, ped",,none,,,"poor-sign, no-yield",,,,,,,,,,"signs, crosswalks",,"Alborz, 2175 Allston Way, Berkeley, CA, 94704, USA",2025/09/04,37.869792,-122.265997,polyline,"[[-122.265934,37.869688],[-122.265666,37.869709]]"
4541,unsafe,,,,,,,,,,,bike,"day, night","poor-street, driving-speed",,,,,,"speed, pavement",This road is not on the street improvement (repaving) plan for the next 8 yrs,"168-198 Centennial Dr, Berkeley, CA, 94720, USA",2025/10/14,37.87410685,-122.2399397,polyline,"[[-122.247534,37.880883],[-122.241869,37.876208],[-122.239208,37.876276],[-122.238951,37.874853],[-122.240324,37.873905],[-122.241697,37.872889],[-122.244101,37.872685],[-122.247705,37.872008],[-122.250452,37.871805],[-122.252684,37.873092]]"
1,nearMiss,05/2018,bike,day,driver,,none,,,no-yield,no,,,,,,,,,,,"2403 Telegraph Ave, Berkeley, California, 94704, USA",2018/10/01,37.86684297,-13609787.24,point,"-122.25879894720435,37.866842967976964"
57,unsafe,,,,,,,,,,,bike,both,"car-traffic, no-sign, intersection",,,,,,,,"2149 Morello Ave, Pleasant Hill, California, 94523, USA",2018/10/01,37.8780081,-122.3079216,point,"-122.3079219997896,37.87800799964735"
58,unsafe,,,,,,,,,,,"walk, bike",night,"driving-speed, car-traffic, poor-lighting",,,,,,,,"1711 S 35th St, Milwaukee, Wisconsin, 53215, USA",2018/10/01,37.87121997,-122.2750599,point,"-122.27505999984751,37.87121999970678"
62,nearMiss,06/2016,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,"5800 Shellmound St, Emeryville, California, 94608, USA",2018/10/01,37.87251029,-122.273077,point,"-122.27307700029885,37.87251000015161"
64,nearMiss,10/11/2018,bike,night,bike,,none,,,poor-lighting,,,,,,,,,,,,"1604 Delaware Ave, Santa Cruz, California, 95060, USA",2018/10/01,37.85589065,-122.262411,point,"-122.26241100019826,37.85589099982632"
65,nearMiss,01/26/2018,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,,2018/10/01,37.8781728,-122.271444,point,"-122.27144399965626,37.878173000106784"
66,nearMiss,10/12/2018,bike,day,driver,,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"1825 8th St, Berkeley, California, 94710, USA",2018/10/01,37.87247677,-122.286918,point,"-122.28691799965146,37.872477000246924"
67,unsafe,,,,,,,,,,,"walk, bike","day, night","no-yield, driving-speed",,,,,,,,"1571 Mission St, San Francisco, California, 94103, USA",2018/10/01,37.88255842,-122.290563,point,"-122.29056300015502,37.882558000182016"
105,nearMiss,11/2018,bike,day,driver,,none,,,"poor-lighting, poor-sign, unsafe-speed",,,,,,,,,,,,,2018/10/01,37.85647149,-122.268512,point,"-122.26851200007854,37.85647100027859"
106,nearMiss,12/10/2018,walk,night,driver,,none,,,"poor-lighting, no-yield",,,,,,,,,,,,,2018/10/01,37.85347113,-122.277038,point,"-122.27703800027163,37.85347100013265"
107,nearMiss,08/01/2014,walk,day,driver,,none,,,"no-yield, unsafe-speed, other",,,,,,,,,,,,,2018/10/01,37.86980073,-122.295884,point,"-122.29588400006061,37.869800999651055"
112,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,,2018/10/01,37.86612836,-122.306944,point,"-122.3069440003465,37.86612800014797"
113,nearMiss,12/12/2018,bike,night,driver,,none,,,poor-lighting,,,,,,,,,,,,,2018/10/01,37.85359029,-122.277023,point,"-122.277023000203,37.8535899997408"
118,incident,12/20/2017,walk,night,"driver, bike",,sev,"poor-lighting, poor-sign",,,yes,,,,,,,,,,,,2018/10/01,37.86314031,-122.258652,point,"-122.25865199989188,37.863139999831304"
119,nearMiss,01/03/2019,walk,night,driver,,none,,,other,,,,,,,,,,,,,2018/10/01,37.85976431,-122.271645,point,"-122.27164500039603,37.85976400021792"
120,unsafe,,,,,,,,,,,"walk, bike, ride",night,"poor-lighting, no-yield, driving-speed",,,,,,,,,2018/10/01,37.86384112,-122.281446,point,"-122.28144600013314,37.86384099999102"
121,unsafe,,,,,,,,,,,"walk, ride","day, night","obstacle, driving-speed",,,,,,,,,2018/10/01,37.86429393,-122.280178,point,"-122.28017800026184,37.86429400007019"
122,nearMiss,01/09/2019,bike,night,driver,,none,,,"poor-lighting, other",,,,,,,,,,,,,2018/10/01,37.87805851,-122.271432,point,"-122.27143199996068,37.87805900004797"
123,nearMiss,01/08/2019,walk,night,driver,,none,,,no-yield,,,,,,,,,,,,,2018/10/01,37.87468017,-122.283314,point,"-122.28331400005406,37.874680000223485"
127,unsafe,,,,,,,,,,,walk,"day, night","poor-lighting, poor-sign, no-yield, driving-speed",,,,,,,,,2018/10/01,37.849662,-122.271019,point,"-122.27101900040712,37.84966199976457"
128,unsafe,,,,,,,,,,,bike,"day, night",driving-speed,,,,,,,,,2018/10/01,37.87594459,-122.273481,point,"-122.27348099963159,37.87594499969058"
129,nearMiss,12/1990,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,,2018/10/01,37.87276435,-122.28583,point,"-122.2858299997052,37.872763999718146"
137,unsafe,,,,,,,,,,,ride,night,"poor-lighting, no-yield, driving-speed",,,,,,,,"2700-2832 Channing Way, Berkeley, CA, 94704, USA",2019/01/31,37.86766794,-122.2520875,point,"-122.25208700040443,37.86766800013483"
153,unsafe,,,,,,,,,,,bike,day,poor-sign,,,,,,,,"1601-1611 Ashby Ave, Berkeley, CA, 94703, USA",2019/02/08,37.85360889,-122.2769342,point,"-122.27693399961623,37.853609000280294"
163,incident,02/2019,bike,day,driver,,minor,other,,,yes,,,,,,,,,,,"Bancroft Way, Berkeley, CA, 94704, USA",2019/02/13,37.86787007,-122.2656614,point,"-122.26566099979331,37.86786999984707"
167,nearMiss,02/12/2019,bike,day,driver,,none,,,"gravel, no-yield, unsafe-speed",,,,,,,,,,,,"3000-3098 Fulton St, Berkeley, CA, 94705, USA",2019/02/13,37.85567177,-122.2635536,point,"-122.2635540003961,37.855672000052344"
170,nearMiss,02/14/2019,bike,night,driver,,none,,,no-yield,,,,,,,,,,,,"2373-2399 Milvia St, Berkeley, CA, 94704, USA",2019/02/14,37.86550994,-122.2699959,point,"-122.26999599985989,37.865509999910664"
173,unsafe,,,,,,,,,,,"walk, bike, ride","day, night","no-yield, driving-speed, other",,,,,,,,"2801-2807 Shattuck Ave, Berkeley, CA, 94705, USA",2019/02/19,37.85849937,-122.2668352,point,"-122.26683499995329,37.85849900024907"
175,unsafe,,,,,,,,,,,"walk, ride",night,poor-lighting,,,,,,,,"1950-1970 Oxford St, Berkeley, CA, 94704, USA",2019/02/19,37.87308502,-122.2663045,point,"-122.26630400039896,37.87308499968488"
179,nearMiss,,bike,night,driver,,none,,,"poor-bikelane, no-yield",,,,,,,,,,,,"1901-1919 Berkeley Way, Berkeley, CA, 94704, USA",2019/02/20,37.87250821,-122.2731045,point,"-122.27310499988796,37.87250799974954"
180,unsafe,,,,,,,,,,,bike,"day, night",obstacle,,,,,,,,"1931-1999 Hearst Ave, Berkeley, CA, 94709, USA",2019/02/20,37.873554,-122.2716516,point,"-122.27165200006871,37.87355399981885"
181,incident,,walk,,,,,,,,,,,,,,,,,,,"2001-2099 Derby St, Berkeley, CA, 94704, USA",2019/02/20,37.86035746,-122.2673253,point,"-122.26732500039806,37.86035700013268"
182,incident,,walk,,,,,,,,,,,,,,,,,,,"2000-2098 Derby St, Berkeley, CA, 94704, USA",2019/02/20,37.85998978,-122.2691621,point,"-122.26916200035686,37.859990000006526"
183,unsafe,,,,,,,,,,,"walk, ride","day, night",poor-street,,,,,,,,"Durant Ave, Berkeley, CA, 94704, USA",2019/02/20,37.86638402,-122.2700702,point,"-122.27007000037806,37.86638400030022"
184,unsafe,,,,,,,,,,,"walk, ride","day, night",poor-street,,,,,,,,"Shattuck Ave, Berkeley, CA, 94705, USA",2019/02/20,37.86026222,-122.2671477,point,"-122.26714799994775,37.860261999699425"
185,unsafe,,,,,,,,,,,"walk, other","day, night",poor-street,,,,,,,,"2101-2133 Ward St, Berkeley, CA, 94705, USA",2019/02/20,37.85949826,-122.2669583,point,"-122.26695799997695,37.85949800024416"
186,unsafe,,,,,,,,,,,walk,"day, night",obstacle,,,,,,,,"2450-2498 Bowditch St, Berkeley, CA, 94720, USA",2019/02/21,37.86543931,-122.2562412,point,"-122.25624099982272,37.86543899977752"
210,nearMiss,02/2019,walk,night,"driver, ped, bike",,none,,,"poor-bikelane, poor-street, poor-lighting, poor-sign, unsafe-speed",,,,,,,,,,,,"1601 Oxford St, Berkeley, CA, 94709, USA",2019/02/28,37.87860897,-122.2668266,point,"-122.26682699955737,37.87860899976116"
211,nearMiss,02/28/2019,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,"2340-2398 Woolsey St, Berkeley, CA, 94705, USA",2019/02/28,37.85292434,-122.2599196,point,"-122.25991999976318,37.85292399964809"
215,nearMiss,02/2019,walk,night,"driver, bike",,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"813-829 University Ave, Berkeley, CA, 94710, USA",2019/03/07,37.86801121,-122.2977509,point,"-122.29775100015662,37.868010999707735"
216,unsafe,,,,,,,,,,,bike,"day, night",obstacle,,,,,,,,"1921-1969 Russell St, Berkeley, CA, 94703, USA",2019/03/11,37.8564505,-122.2691255,point,"-122.26912499964861,37.85645000034796"
217,unsafe,,,,,,,,,,,,,,,,,,,,,"1921-1969 Russell St, Berkeley, CA, 94703, USA",2019/03/11,37.8564505,-122.2691255,point,"-122.26912499964861,37.85645000034796"
226,unsafe,,,,,,,,,,,"walk, bike, ride","day, night","poor-sign, no-yield, driving-speed",,,,,,,,"2301-2329 Ellsworth St, Berkeley, CA, 94704, USA",2019/03/13,37.86813853,-122.2636717,point,"-122.26367200039688,37.86813899981534"
227,positive,,,,,,,,,,,,,,walk,"safe-speed, car-traffic, good-sign",,,,,,"2230-2272 Piedmont Ave, Berkeley, CA, 94720, USA",2019/03/13,37.8708888,-122.2528165,point,"-122.2528170001504,37.87088900002136"
228,positive,,,,,,,,,,,,,,walk,safe-speed,,,,,,"200-399 Wurster Hall, Berkeley, CA, 94720, USA",2019/03/13,37.87036704,-122.2542822,point,"-122.2542819996652,37.87036700017365"
229,nearMiss,03/12/2019,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,"2600-2624 Ashby Ave, Berkeley, CA, 94705, USA",2019/03/13,37.85667456,-122.255458,point,"-122.2554580003733,37.85667500030666"
230,incident,12/2018,ride,night,ped,,none,"poor-lighting, other","Individual threw a large traffic cone at the vehicle I was in, denting the roof of the vehicle and break the overhead light. ",,yes,,,,,,,,,,,"2549-2581 Haste St, Berkeley, CA, 94704, USA",2019/03/13,37.86624592,-122.2573798,point,"-122.2573799998226,37.866245999957435"
231,nearMiss,03/09/2019,bike,night,driver,,none,,,"poor-lighting, car-door",,,,,,,,,,,,"2012 Channing Way, Berkeley, CA, 94704, USA",2019/03/13,37.86550968,-122.2693798,point,"-122.26937999991674,37.865509999910664"
232,incident,01/2019,walk,day,driver,,none,"poor-sign, no-yield, unsafe-speed",I routinely see crashes at this exact intersection. This is due to no protected turns and a ton of cars on a busy intersection. ,,yes,,,,,,,,,,,"University Ave, Berkeley, CA, 94704, USA",2019/03/13,37.87160899,-122.2729638,point,"-122.27296400032097,37.87160899966014"
